event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SUD19616,2023-04-12,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Labor Group (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,3,Alintibaha; Darfur 24; Hala haya 5; Radio Dabanga,New media-Subnational,"On 12 April 2023, banks' employees launched a strike across North Darfur state and staged a protest El Fasher (Al Fasher, North Darfur), demanding the arrest of the perpetrators of killing employees of El Edikhar Bank (coded separately).",0,crowd size=no report,1681739331
SUD19619,2023-04-11,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),,Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Red Sea,Sawakin,,Suakin,19.1051,37.3319,1,Radio Dabanga,National,"On 11 April 2023, pilgrims staged a protest in Suakin (Sawakin, Red Sea), after travel agencies sold forged ship tickets to them, which hindered their travel to the holy lands in Saudi Arabia.",0,crowd size=no report,1681739331
SUD19621,2023-04-12,2023,1,Strategic developments,Strategic developments,Other,Zayadiya Ethnic Militia (Sudan),,Identity militia,,,,Identity militia only,,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,1,Radio Dabanga; Sudan Tribune,National,"Non-violent activity: On 12 April 2023, Zayadia militants closed the roads with military vehicles in El Fasher (Al Fasher, North Darfur), demanding the arrest of the perpetrators of killing employees of El Edikhar Bank (coded separately).",0,,1681739331
SUD19625,2023-04-13,2023,1,Political violence,Violence against civilians,Attack,Darfur Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Civilians (Sudan),,Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Garsila,12.3853,23.1414,2,Al Taghyeer (Sudan); Democrat (Sudan); Radio Dabanga,National,"On 13 April 2023, pastoralists-militia (coded as Darfur communal militia) attacked civilians near Garsila (Wadi Salih, Central Darfur). 2 were killed and 1 was wounded. No further information.",2,,1757377219
SUD19638,2023-04-13,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Darfur Communal Militia (Sudan),,Identity militia,Civilians (Sudan),,Civilians,Identity militia-Civilians,,729,Northern Africa,Sudan,South Darfur,Nyala Janoub,,Nyala,12.0556,24.8906,1,Al Sudani; Alintibaha,National,"Looting: On 13 April 2023, four militants on Avanti (coded as Darfur communal militia) looted Al Watania Fuel Depot in Nyala (Nyala Janoub, South Darfur), the militia looted eight million SDG and the warehouse manager's vehicle.",0,,1754958639
SUD19640,2023-04-11,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Red Sea,Port Sudan,,Port Sudan,19.6148,37.2225,1,Hala haya 5,New media,"On 11 April 2023, Resistance Committees staged a protest in Port Sudan (Port Sudan, Red Sea), denouncing the military coup and the framework agreement.",0,crowd size=no report,1755553207
SUD19641,2023-04-11,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),,Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Central Darfur,Zalingi,,Zalingei,12.9075,23.4706,1,Hala haya 5,New media,"On 11 April 2023, the family of the martyr, Colonel Ahmed Muhammad Ali Bakhit, closed (through unspecified means) the bridge in Zalingei (Zalingi, Central Darfur), demanding justice.",0,crowd size=no report,1755553207
SUD19609,2023-04-11,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),,Protesters,,,,Protesters only,,729,Northern Africa,Sudan,South Darfur,Nyala Janoub,,Nyala,12.0556,24.8906,1,Al Sudani; Alintibaha; Radio Dabanga,National,"On 11 April 2023, people with special needs staged a protest in Nyala (Nyala Janoub, South Darfur), denouncing the legitimacy of the current union of people with special needs. They also blocked the street (presumably by standing on the road; no violent means were reported) to put more pressure on the representatives.",0,crowd size=no report,1754958639
SUD19632,2023-04-12,2023,1,Demonstrations,Riots,Violent demonstration,Rioters (Sudan),,Rioters,,,,Rioters only,,729,Northern Africa,Sudan,Red Sea,Sawakin,,Suakin,19.1051,37.3319,1,Al Rakoba,National,"On 12 April 2023, dozens of pilgrims staged a demonstration and closed the port by burning tires and staging a physical blockade in Suakin (Sawakin, Red Sea), after travel agencies sold forged ship tickets to them, which hindered their travel to the holy lands in Saudi Arabia.",0,crowd size=dozens,1682451266
SUD19652,2023-04-11,2023,1,Political violence,Battles,Armed clash,Darfur Communal Militia (Sudan),,Identity militia,Police Forces of Sudan (2019-),Darfur Communal Militia (Sudan),State forces,State forces-Identity militia,,729,Northern Africa,Sudan,North Darfur,Melit,,Um Kaddada,14.0282,25.5017,2,Alintibaha,National,"On 11 April 2023, a group of armed individuals (coded as Darfur Communal militia) clashed with police and armed villagers (also assumed Darfur militia) near Um Kaddada (Melit, North Darfur), over previously stolen sheep and camels. As a result, one policeman was killed and seven other people were injured.",1,,1753971757
SUD19684,2023-04-13,2023,1,Strategic developments,Strategic developments,Other,Protesters (Sudan),Labor Group (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,3,Alnilin,National,"Strikes: On 13 April 2023, bank employees in the North Darfur state (coded to El Fasher, North Darfur) went for a strike, demanding higher protection after recent looting and attacks on their colleagues (coded separately).",0,,1682451267
SUD19688,2023-04-12,2023,1,Political violence,Battles,Armed clash,Darfur Communal Militia (Sudan),,Identity militia,Military Forces of Sudan (2019-),,State forces,State forces-Identity militia,,729,Northern Africa,Sudan,South Darfur,Nyala Janoub,,Nyala,12.0556,24.8906,1,Al Rakoba,National,"On 12 April 2023, a group of unknown gunmen (coded as Darfur Communal Militia) killed a colonel in Nyala (Nyala Janoub, Nyla), while trying to seize his military vehicle.",1,,1754958639
SUD19718,2023-04-11,2023,1,Political violence,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Identity militia,Civilians (Sudan),Labor Group (Sudan),Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,1,Al Rakoba,National,"On 11 April 2023, unidentified gunmen (coded as Darfur communal militia) shot and killed 4 employees of a local bank in El Fasher (Al Fasher, North Darfur). Bank property was looted.",4,,1754411230
SUD19720,2023-04-13,2023,2,Political violence,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Identity militia,Civilians (Sudan),,Civilians,Identity militia-Civilians,Civilian targeting,729,Northern Africa,Sudan,West Darfur,Sirba,,Sirba,13.8057,22.5067,2,Al Rakoba,National,"Around 13 April 2023, attacks of armed groups (coded as Darfur communal militia) against civilians were reported in the Sirba area (Sirba, West Darfur). Casualties unknown.",0,,1754411230
SUD19633,2023-04-12,2023,2,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Sudan (2019-2023) Rapid Support Forces,,State forces,,,,State forces only,,729,Northern Africa,Sudan,North Darfur,Al Fasher,,El Fasher,13.6264,25.3559,1,Al Rakoba,National,"Movement of forces: Around 12 April 2023 (between 5 April - 12 April), a heavy security deployment of the Rapid Support Forces in several entrances in El Fasher and in front of government institutions in El Fasher (Al Fasher, North Darfur), and a security cordon was imposed on the entrances to the city. Due to escalation between SAF and RSF leaders.",0,,1685401338
SUD19634,2023-04-11,2023,1,Political violence,Battles,Armed clash,Darfur Communal Militia (Sudan),Pastoralists (Sudan),Identity militia,Sudanese Alliance Movement,,Rebel group,Rebel group-Identity militia,,729,Northern Africa,Sudan,West Darfur,Sirba,,Kondobei,13.6566,22.4949,2,Al Rakoba,National,"On 11 April 2023, described as Arab pastoralists militia (coded as Darfur Communal Militia) clashed with Sudanese Alliance Movement near Kondobei (Sirba, West Darfur), after the Sudanese Alliance Movement killed a civilian in El Geneina (coded separately). At least four Sudanese Alliance Movement were killed, and one of their vehicles was destroyed.",4,,1753971757
SUD21294,2023-04-13,2023,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Sudan (2019-2023) Rapid Support Forces,,State forces,,,,State forces only,,729,Northern Africa,Sudan,South Darfur,Nyala Janoub,,Nyala,12.0556,24.8906,1,Al Rakoba,National,"Movement of forces: On 13 April 2023, RSF announced their withdraw from Nyala (Nyala Janoub, South Darfur) after they accused the governor of the responsibility of the insecurity over the past three weeks.",0,,1754958639
SUD19620,2023-04-14,2023,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Sudan (2019-),Darfur Joint Forces; Military Forces of Sudan (2019-) Abu Tira; Military Forces of Sudan (2019-2023) Rapid Support Forces; Police Forces of Sudan (2019-),State forces,,,,State forces only,,729,Northern Africa,Sudan,South Darfur,Nyala Janoub,,Nyala,12.0556,24.8906,1,Radio Dabanga,National,"Movement of forces: On 14 April 2023, the government deployed security reinforcements of joint security forces (SAF, police, RSF, Abu Tira, and Joint Force of Armed Struggle Movements) in Nyala (Nyala Janoub, South Darfur). Due to the violence event the state witnessed in the past days.",0,,1754958639
SUD19626,2023-04-13,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Judges (Sudan); Lawyers (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,East Darfur,Ad Duayn,,Ed Daein,11.4619,26.1258,1,Darfur 24; Radio Dabanga,Subnational-National,"On 13 April 2023, judges and lawyers staged a protest in Ed Daein (Ad Duayn, East Darfur), in solidarity with a judge who was chased and threatened by a police officer.",0,crowd size=no report,1709590399
SUD19656,2023-04-13,2023,2,Political violence,Battles,Armed clash,Darfur Communal Militia (Sudan),,Identity militia,Military Forces of Sudan (2019-2023) Rapid Support Forces,,State forces,State forces-Identity militia,,729,Northern Africa,Sudan,East Darfur,Ad Duayn,,Ed Daein,11.4619,26.1258,2,Al Rakoba,National,"Around 13 April 2023, a group of unknown gunmen (coded as Darfur Communal Militia) in the Ed Daein area (Ad Duayn, West Darfur) shot dead a Rapid Support officer and injured three other soldiers.",1,,1753971757
SUD19680,2023-04-12,2023,1,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Sudan),,Political militia,Civilians (Sudan),Health Workers (Sudan); Labor Group (Sudan),Civilians,Political militia-Civilians,,729,Northern Africa,Sudan,River Nile,Al Matama,,El Matamma,16.7074,33.3553,1,Al Rakoba,National,"Looting: On 12 April 2023, unidentified armed individuals stormed a health facility in Goz Barah (coded to El Matamma (Al Matama, River Nile) and a shop nearby and looted from both.",0,,1753971757
SUD19644,2023-04-13,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Al Jazirah,Medani Al Kubra,,Wad Medani,14.3983,33.5477,1,Eltayeb Elmosharaf,New media,"On 13 April 2023, demonstrators responded to call made by Resistance Committees to demonstrate in Wad Medani (Medani Al Kubra, Al Jazirah), in memory of a demonstrator who was killed by security forces.",0,crowd size=no report,1755553207
SUD19664,2023-04-13,2023,2,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Sudan (2019-),,State forces,,,,State forces only,,729,Northern Africa,Sudan,West Darfur,El Geneina,,El Geneina,13.4413,22.4454,3,Al Rakoba,National,"Security measures: Around 13 April 2023 (as reported), a military state of emergency was declared for the entire month and a two-weeks curfew was imposed in West Darfur (coded to El Geneina (El Geneina, West Darfur) as a reaction to increased violence.",0,,1757377219
SUD19639,2023-04-14,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Khartoum,Karrari,,Karari,15.7923,32.5311,1,Eltayeb Elmosharaf; Hala haya 5,New media,"On 14 April 2023, Resistance Committees staged a protest in Karari (Karrari, Khartoum), denouncing NCP members call of gathering in Karari.",0,crowd size=no report,1755553207
SUD19645,2023-04-12,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Khartoum,Karrari,,Karari,15.7923,32.5311,1,Dalia Eltahir; Taha Wad Hanan,New media,"On 12 April 2023, demonstrators responded to call made by Resistance Committees to demonstrate in Karari (Karrari, Khartoum), in memory of a demonstrator who was killed by security forces.",0,crowd size=no report,1755553207
SUD19648,2023-04-11,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),Protesters,,,,Protesters only,,729,Northern Africa,Sudan,Khartoum,Karrari,,Karari,15.7923,32.5311,1,Taha Wad Hanan,New media,"On 11 April 2023, demonstrators responded to call made by Resistance Committees to demonstrate in Karari (Karrari, Khartoum), in memory of a demonstrator who was killed by security forces.",0,crowd size=no report,1755553207
